"nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil"
11054,1,1,1,79,1,0,2,36,33295,8262.9580078125,1240.357421875,9503.3154296875,0,1,1.04273509979248,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785
11061,1,1,1,43,1,6,4,116,180325,6724.861328125,12486.466796875,19211.328125,1,1,1.01139605045319,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785
11081,1,1,1,52,0,0,7,91,80735,5113.392578125,2393.6162109375,7507.0087890625,0,1,1.01139605045319,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785
11101,1,1,1,48,1,0,7,8,16755,4080.9697265625,1252.92431640625,5333.89404296875,0,1,1.01139605045319,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785
12021,1,2,1,35,1,10,5,10,18795,7031.53369140625,17638.515625,24670.048828125,0,1,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12035,1,2,1,33,1,5,7,16,44877.5234375,2107.37963867188,1168.62915039062,3276.0087890625,0,0,2.24899578094482,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12051,1,2,1,26,1,2,3,1,5142.77978515625,4824.96533203125,1167.0498046875,5992.01513671875,0,0,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12054,1,2,1,38,1,5,4,66,113032.890625,5890.5126953125,1414.43408203125,7304.94677734375,0,0,0.819277107715607,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12081,1,2,1,35,1,0,7,10,26160,4691.14306640625,2118.30322265625,6809.4462890625,0,1,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12121,1,2,1,48,1,0,8,5,17080,2690.82421875,811.256591796875,3502.08081054688,0,1,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
13014,1,3,1,45,1,9,4,26,30320,4023.54858398438,1271.14624023438,5294.69482421875,0,1,1.52941179275513,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13015,1,3,1,35,1,0,4,138,84103,3665.583984375,2480.54541015625,6146.12939453125,0,1,1.49019598960876,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13021,1,3,1,55,1,10,4,73,61220,4043.17236328125,1198.572265625,5241.74462890625,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13025,1,3,1,55,1,1,6,262,642238.5,4540.533203125,4913.6103515625,9454.1435546875,0,0,1.49019598960876,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13035,1,3,1,40,1,5,4,128,348335.34375,3636.48657226562,3551.73217773438,7188.21875,0,0,1.49019598960876,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13041,1,3,1,68,1,0,4,55,39100,2275.68017578125,5693.26025390625,7968.9404296875,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13045,1,3,1,48,1,0,4,237,646995.5625,4790.9052734375,2203.61376953125,6994.51904296875,0,1,1.49019598960876,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13054,1,3,1,28,1,0,4,4,12978.7529296875,1783.39428710938,485.51904296875,2268.91333007812,0,0,1.52941179275513,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13061,1,3,1,55,0,0,4,10,25310,3727.83862304688,715.252685546875,4443.09130859375,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13091,1,3,1,70,1,0,4,19,34010,3259.57495117188,6084.8896484375,9344.46484375,1,0,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13101,1,3,1,55,1,0,4,19,32460,3524.15747070312,755.345947265625,4279.50341796875,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13111,1,3,1,41,1,0,5,3,4242,2404.1142578125,523.07470703125,2927.18896484375,1,0,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13121,1,3,1,36,1,0,4,8,11615,3074.84106445312,2156.58422851562,5231.42529296875,0,1,0.656862735748291,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
21015,1,1,2,50,1,12,9,839,1268879.5,4125.953125,2565.826171875,6691.779296875,0,0,1.59313726425171,1,0.800000011920929,10.6013441085815,8.12017822265625,8.12017822265625,7.17373418807983,1.69170391559601,40.6008949279785
21035,1,1,2,60,1,0,8,194.5,204621.75,1987.92126464844,1221.24108886719,3209.16235351562,0,0,1.59313726425171,1,0.800000011920929,10.6013441085815,8.12017822265625,8.12017822265625,7.17373418807983,1.69170391559601,40.6008949279785
21045,1,1,2,85,1,0,3,46,56367.578125,2667.02758789062,1439.97827148438,4107.005859375,0,0,1.59313726425171,1,0.800000011920929,10.6013441085815,8.12017822265625,8.12017822265625,7.17373418807983,1.69170391559601,40.6008949279785
21054,1,1,2,48,1,0,9,2,9581.810546875,5492.248046875,2274.0263671875,7766.2744140625,0,0,1.23529410362244,1,0.800000011920929,10.6013441085815,8.12017822265625,8.12017822265625,7.17373418807983,1.69170391559601,40.6008949279785
