"nh","year","villid","thanaid","agehead","sexhead","educhead","famsize","hhland","hhasset","expfd","expnfd","exptot","dmmfd","dfmfd","weight","vaccess","pcirr","rice","wheat","milk","potato","egg","oil"
11054,0,1,1,72,1,0,3,36,33295,3055.8564453125,902.2548828125,3958.11206054688,0,0,1.04273509979248,1,0.449999988079071,11,8.5,12,8,2.5,55
11054,1,1,1,79,1,0,2,36,33295,8262.9580078125,1240.357421875,9503.3154296875,0,1,1.04273509979248,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785
11061,0,1,1,35,1,5,10,116,180325,3031.01708984375,421.249328613281,3452.26635742188,1,0,1.01139605045319,1,0.449999988079071,11,8.5,12,8,2.5,55
11061,1,1,1,43,1,6,4,116,180325,6724.861328125,12486.466796875,19211.328125,1,1,1.01139605045319,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785
11081,0,1,1,54,1,3,6,91,80735,3347.57836914062,343.3876953125,3690.96655273438,1,1,1.01139605045319,1,0.449999988079071,11,8.5,12,8,2.5,55
11081,1,1,1,52,0,0,7,91,80735,5113.392578125,2393.6162109375,7507.0087890625,0,1,1.01139605045319,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785
11101,0,1,1,44,1,5,7,8,16755,2106.83276367188,265.834381103516,2372.66748046875,0,1,1.01139605045319,1,0.449999988079071,11,8.5,12,8,2.5,55
11101,1,1,1,48,1,0,7,8,16755,4080.9697265625,1252.92431640625,5333.89404296875,0,1,1.01139605045319,1,0.449999988079071,12.6313886642456,8.12017822265625,11.503586769104,8.54742813110352,2.19921493530273,40.6008949279785
12021,0,2,1,28,1,8,6,10,18795,3401.240234375,789.907043457031,4191.14697265625,0,1,0.76305216550827,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12021,1,2,1,35,1,10,5,10,18795,7031.53369140625,17638.515625,24670.048828125,0,1,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12035,0,2,1,25,1,8,4,184,81105,3760.60986328125,1482.33837890625,5242.9482421875,0,0,2.24899578094482,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12035,1,2,1,33,1,5,7,16,44877.5234375,2107.37963867188,1168.62915039062,3276.0087890625,0,0,2.24899578094482,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12051,0,2,1,63,1,6,8,16,20800,3097.73754882812,807.80517578125,3905.54272460938,1,0,0.76305216550827,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12051,1,2,1,26,1,2,3,1,5142.77978515625,4824.96533203125,1167.0498046875,5992.01513671875,0,0,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12054,0,2,1,27,1,5,3,63,32717,2703.47998046875,369.914947509766,3073.39477539062,0,0,0.819277107715607,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12054,1,2,1,38,1,5,4,66,113032.890625,5890.5126953125,1414.43408203125,7304.94677734375,0,0,0.819277107715607,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12081,0,2,1,26,1,0,6,10,26160,3188.7197265625,487.471466064453,3676.19067382812,0,1,0.76305216550827,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12081,1,2,1,35,1,0,7,10,26160,4691.14306640625,2118.30322265625,6809.4462890625,0,1,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
12121,0,2,1,43,1,3,8,5,17080,2179.24755859375,245.269149780273,2424.5166015625,0,1,0.76305216550827,1,0.200000002980232,11.5,8.25,12,8,2.5,54
12121,1,2,1,48,1,0,8,5,17080,2690.82421875,811.256591796875,3502.08081054688,0,1,0.76305216550827,1,0.200000002980232,10.1502237319946,6.09013414382935,10.8269052505493,6.86846923828125,2.03004455566406,43.3076210021973
13014,0,3,1,38,1,7,5,26,30320,3115.93432617188,731.791870117188,3847.72607421875,0,0,1.52941179275513,1,0.5,11,8,11,8,2.5,56
13014,1,3,1,45,1,9,4,26,30320,4023.54858398438,1271.14624023438,5294.69482421875,0,1,1.52941179275513,0,0.75,9.02242088317871,6.09013414382935,10.8269052505493,6.1053056716919,2.03004455566406,40.6008949279785
13015,0,3,1,21,1,0,3,138,84103,3194.4970703125,715.09130859375,3909.58862304688,0,0,1.49019598960876,1,0.5,11,8,11,8,2.5,56
